FeatureSize,Run,Model,Accuracy,Precision,Recall,F1,AUC,NumSelectedFeatures
2,30,GradientBoosting,0.9583333333333334,1.0,0.9047619047619048,0.95,0.9753086419753086,2
2,31,LogisticRegression,0.9791666666666666,1.0,0.9523809523809523,0.975609756097561,1.0,2
2,31,RandomForest,0.9791666666666666,0.9545454545454546,1.0,0.9767441860465116,0.998236331569665,2
2,31,SVM,0.9791666666666666,1.0,0.9523809523809523,0.975609756097561,0.9876543209876543,2
2,31,KNN,0.9791666666666666,1.0,0.9523809523809523,0.975609756097561,1.0,2
2,31,GradientBoosting,1.0,1.0,1.0,1.0,1.0,2
2,32,LogisticRegression,0.9166666666666666,1.0,0.8095238095238095,0.8947368421052632,0.9664902998236331,2
2,32,RandomForest,0.9166666666666666,0.9473684210526315,0.8571428571428571,0.9,0.9735449735449736,2
2,32,SVM,0.9375,1.0,0.8571428571428571,0.9230769230769231,0.9876543209876543,2
2,32,KNN,0.9583333333333334,1.0,0.9047619047619048,0.95,0.9417989417989417,2
2,32,GradientBoosting,0.9166666666666666,0.9473684210526315,0.8571428571428571,0.9,0.8809523809523809,2
2,33,LogisticRegression,0.9791666666666666,1.0,0.9523809523809523,0.975609756097561,0.998236331569665,2
2,33,RandomForest,0.9791666666666666,1.0,0.9523809523809523,0.975609756097561,0.9947089947089947,2
2,33,SVM,0.9791666666666666,1.0,0.9523809523809523,0.975609756097561,0.9858906525573192,2
2,33,KNN,0.9791666666666666,1.0,0.9523809523809523,0.975609756097561,0.9708994708994709,2
2,33,GradientBoosting,0.9791666666666666,1.0,0.9523809523809523,0.975609756097561,0.982363315696649,2
2,34,LogisticRegression,0.9166666666666666,1.0,0.8095238095238095,0.8947368421052632,0.9858906525573192,2
2,34,RandomForest,0.9166666666666666,1.0,0.8095238095238095,0.8947368421052632,0.9858906525573192,2
2,34,SVM,0.9166666666666666,1.0,0.8095238095238095,0.8947368421052632,0.9435626102292769,2
2,34,KNN,0.9166666666666666,1.0,0.8095238095238095,0.8947368421052632,0.9285714285714286,2
2,34,GradientBoosting,0.9375,1.0,0.8571428571428571,0.9230769230769231,0.9523809523809523,2
2,35,LogisticRegression,0.9583333333333334,0.9130434782608695,1.0,0.9545454545454546,0.9929453262786596,2
2,35,RandomForest,0.9583333333333334,0.9130434782608695,1.0,0.9545454545454546,0.9991181657848325,2
2,35,SVM,0.9791666666666666,0.9545454545454546,1.0,0.9767441860465116,1.0,2
2,35,KNN,0.9791666666666666,0.9545454545454546,1.0,0.9767441860465116,1.0,2
2,35,GradientBoosting,1.0,1.0,1.0,1.0,1.0,2
2,36,LogisticRegression,0.9583333333333334,1.0,0.9047619047619048,0.95,0.9735449735449735,2
2,36,RandomForest,0.9375,0.95,0.9047619047619048,0.926829268292683,0.9832451499118167,2
2,36,SVM,0.9583333333333334,1.0,0.9047619047619048,0.95,0.9858906525573192,2
2,36,KNN,0.9375,1.0,0.8571428571428571,0.9230769230769231,0.9400352733686066,2
2,36,GradientBoosting,0.9583333333333334,1.0,0.9047619047619048,0.95,0.9841269841269841,2
2,37,LogisticRegression,0.9375,0.95,0.9047619047619048,0.926829268292683,0.9876543209876543,2
2,37,RandomForest,0.9166666666666666,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9911816578483246,2
2,37,SVM,0.9375,0.95,0.9047619047619048,0.926829268292683,0.9770723104056438,2
2,37,KNN,0.9375,0.95,0.9047619047619048,0.926829268292683,0.9876543209876543,2
2,37,GradientBoosting,0.9166666666666666,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9911816578483246,2
2,38,LogisticRegression,0.9791666666666666,0.9545454545454546,1.0,0.9767441860465116,0.9964726631393299,2
2,38,RandomForest,0.875,0.7777777777777778,1.0,0.875,1.0,2
2,38,SVM,0.9791666666666666,0.9545454545454546,1.0,0.9767441860465116,0.998236331569665,2
2,38,KNN,0.9791666666666666,0.9545454545454546,1.0,0.9767441860465116,0.9991181657848324,2
2,38,GradientBoosting,0.8958333333333334,0.8076923076923077,1.0,0.8936170212765957,0.9964726631393298,2
2,39,LogisticRegression,0.9791666666666666,1.0,0.9523809523809523,0.975609756097561,0.9753086419753086,2
2,39,RandomForest,0.9583333333333334,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9964726631393299,2
2,39,SVM,0.9791666666666666,1.0,0.9523809523809523,0.975609756097561,0.9964726631393298,2
2,39,KNN,0.9583333333333334,1.0,0.9047619047619048,0.95,0.9682539682539683,2
2,39,GradientBoosting,0.9791666666666666,1.0,0.9523809523809523,0.975609756097561,0.9858906525573192,2
2,40,LogisticRegression,0.9375,1.0,0.8571428571428571,0.9230769230769231,0.9876543209876543,2
2,40,RandomForest,0.9583333333333334,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9832451499118164,2
2,40,SVM,0.9375,1.0,0.8571428571428571,0.9230769230769231,0.9611992945326279,2
2,40,KNN,0.8958333333333334,1.0,0.7619047619047619,0.8648648648648649,0.9417989417989417,2
2,40,GradientBoosting,0.9583333333333334,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.982363315696649,2
2,41,LogisticRegression,0.9375,0.95,0.9047619047619048,0.926829268292683,0.9841269841269842,2
2,41,RandomForest,0.9166666666666666,1.0,0.8095238095238095,0.8947368421052632,0.9902998236331569,2
2,41,SVM,0.9583333333333334,1.0,0.9047619047619048,0.95,0.982363315696649,2
2,41,KNN,0.9583333333333334,1.0,0.9047619047619048,0.95,0.9735449735449735,2
2,41,GradientBoosting,0.9166666666666666,1.0,0.8095238095238095,0.8947368421052632,0.9929453262786596,2
2,42,LogisticRegression,0.9375,0.95,0.9047619047619048,0.926829268292683,0.9947089947089948,2
2,42,RandomForest,0.875,0.8260869565217391,0.9047619047619048,0.8636363636363636,0.9823633156966491,2
2,42,SVM,0.9166666666666666,1.0,0.8095238095238095,0.8947368421052632,1.0,2
2,42,KNN,0.9375,1.0,0.8571428571428571,0.9230769230769231,0.9479717813051146,2
2,42,GradientBoosting,0.8958333333333334,0.8333333333333334,0.9523809523809523,0.8888888888888888,0.9753086419753088,2
2,43,LogisticRegression,0.9375,1.0,0.8571428571428571,0.9230769230769231,0.9876543209876543,2
2,43,RandomForest,0.9791666666666666,1.0,0.9523809523809523,0.975609756097561,0.9700176366843033,2
2,43,SVM,0.9791666666666666,1.0,0.9523809523809523,0.975609756097561,0.9629629629629629,2
2,43,KNN,0.9375,1.0,0.8571428571428571,0.9230769230769231,0.9708994708994708,2
2,43,GradientBoosting,0.9791666666666666,1.0,0.9523809523809523,0.975609756097561,0.9876543209876545,2
2,44,LogisticRegression,0.9375,0.9090909090909091,0.9523809523809523,0.9302325581395349,0.9947089947089947,2
2,44,RandomForest,1.0,1.0,1.0,1.0,1.0,2
2,44,SVM,1.0,1.0,1.0,1.0,1.0,2
2,44,KNN,1.0,1.0,1.0,1.0,1.0,2
2,44,GradientBoosting,1.0,1.0,1.0,1.0,1.0,2
2,45,LogisticRegression,0.9375,0.95,0.9047619047619048,0.926829268292683,0.9894179894179894,2
2,45,RandomForest,0.8958333333333334,0.9444444444444444,0.8095238095238095,0.8717948717948718,0.9823633156966491,2
2,45,SVM,0.9375,1.0,0.8571428571428571,0.9230769230769231,0.9894179894179895,2
2,45,KNN,0.9166666666666666,1.0,0.8095238095238095,0.8947368421052632,0.9876543209876544,2
2,45,GradientBoosting,0.9583333333333334,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9894179894179894,2
2,46,LogisticRegression,0.9583333333333334,1.0,0.9047619047619048,0.95,0.998236331569665,2
2,46,RandomForest,0.9583333333333334,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9911816578483246,2
2,46,SVM,0.9583333333333334,1.0,0.9047619047619048,0.95,0.9894179894179894,2
2,46,KNN,0.9583333333333334,1.0,0.9047619047619048,0.95,0.9735449735449735,2
2,46,GradientBoosting,0.9583333333333334,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9955908289241622,2
2,47,LogisticRegression,0.9791666666666666,1.0,0.9523809523809523,0.975609756097561,0.9894179894179894,2
2,47,RandomForest,0.9375,0.9090909090909091,0.9523809523809523,0.9302325581395349,0.9876543209876543,2
2,47,SVM,0.9791666666666666,1.0,0.9523809523809523,0.975609756097561,0.9717813051146384,2
2,47,KNN,0.9791666666666666,1.0,0.9523809523809523,0.975609756097561,0.9735449735449735,2
2,47,GradientBoosting,0.9375,0.9090909090909091,0.9523809523809523,0.9302325581395349,0.9902998236331569,2
2,48,LogisticRegression,0.9583333333333334,1.0,0.9047619047619048,0.95,1.0,2
2,48,RandomForest,0.9791666666666666,1.0,0.9523809523809523,0.975609756097561,0.9656084656084656,2
2,48,SVM,0.9791666666666666,1.0,0.9523809523809523,0.975609756097561,0.9947089947089947,2
2,48,KNN,0.9583333333333334,1.0,0.9047619047619048,0.95,0.9691358024691358,2
2,48,GradientBoosting,0.9791666666666666,1.0,0.9523809523809523,0.975609756097561,0.9876543209876543,2
2,49,LogisticRegression,0.9583333333333334,1.0,0.9047619047619048,0.95,0.9929453262786596,2
2,49,RandomForest,0.9583333333333334,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9894179894179893,2
2,49,SVM,0.9791666666666666,1.0,0.9523809523809523,0.975609756097561,0.9611992945326279,2
2,49,KNN,0.9583333333333334,1.0,0.9047619047619048,0.95,0.9735449735449735,2
2,49,GradientBoosting,0.9583333333333334,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9867724867724867,2
2,50,LogisticRegression,0.9375,1.0,0.8571428571428571,0.9230769230769231,0.9858906525573192,2
2,50,RandomForest,0.9583333333333334,1.0,0.9047619047619048,0.95,0.9911816578483246,2
2,50,SVM,0.9583333333333334,1.0,0.9047619047619048,0.95,0.9488536155202821,2
