FeatureSize,Run,Model,Dataset,Accuracy,Precision,Recall,F1,AUC,NumSelectedFeatures
2,9,GradientBoosting,CPTAC,,,,,,2
2,10,LogisticRegression,Train (TCGA),0.9732142857142857,0.9787234042553191,0.9583333333333334,0.968421052631579,0.9833984375,2
2,10,LogisticRegression,Test (TCGA),0.9375,1.0,0.8571428571428571,0.9230769230769231,0.9894179894179893,2
2,10,LogisticRegression,CPTAC,,,,,,2
2,10,RandomForest,Train (TCGA),1.0,1.0,1.0,1.0,1.0,2
2,10,RandomForest,Test (TCGA),0.9375,1.0,0.8571428571428571,0.9230769230769231,0.9691358024691359,2
2,10,RandomForest,CPTAC,,,,,,2
2,10,SVM,Train (TCGA),0.9821428571428571,1.0,0.9583333333333334,0.9787234042553191,0.9847005208333334,2
2,10,SVM,Test (TCGA),0.9375,1.0,0.8571428571428571,0.9230769230769231,0.9753086419753088,2
2,10,SVM,CPTAC,,,,,,2
2,10,KNN,Train (TCGA),0.9642857142857143,1.0,0.9166666666666666,0.9565217391304348,0.9964192708333334,2
2,10,KNN,Test (TCGA),0.9375,1.0,0.8571428571428571,0.9230769230769231,0.9417989417989417,2
2,10,KNN,CPTAC,,,,,,2
2,10,GradientBoosting,Train (TCGA),1.0,1.0,1.0,1.0,1.0,2
2,10,GradientBoosting,Test (TCGA),0.9375,1.0,0.8571428571428571,0.9230769230769231,0.9867724867724869,2
2,10,GradientBoosting,CPTAC,,,,,,2
2,11,LogisticRegression,Train (TCGA),0.9821428571428571,1.0,0.9583333333333334,0.9787234042553191,0.9921875,2
2,11,LogisticRegression,Test (TCGA),0.8958333333333334,0.9444444444444444,0.8095238095238095,0.8717948717948718,0.962962962962963,2
2,11,LogisticRegression,CPTAC,,,,,,2
2,11,RandomForest,Train (TCGA),1.0,1.0,1.0,1.0,1.0,2
2,11,RandomForest,Test (TCGA),0.9166666666666666,0.9473684210526315,0.8571428571428571,0.9,0.9603174603174603,2
2,11,RandomForest,CPTAC,,,,,,2
2,11,SVM,Train (TCGA),0.9910714285714286,1.0,0.9791666666666666,0.9894736842105263,1.0,2
2,11,SVM,Test (TCGA),0.9375,1.0,0.8571428571428571,0.9230769230769231,0.9523809523809524,2
2,11,SVM,CPTAC,,,,,,2
2,11,KNN,Train (TCGA),0.9910714285714286,1.0,0.9791666666666666,0.9894736842105263,1.0,2
2,11,KNN,Test (TCGA),0.9166666666666666,1.0,0.8095238095238095,0.8947368421052632,0.9223985890652557,2
2,11,KNN,CPTAC,,,,,,2
2,11,GradientBoosting,Train (TCGA),1.0,1.0,1.0,1.0,1.0,2
2,11,GradientBoosting,Test (TCGA),0.9166666666666666,0.9473684210526315,0.8571428571428571,0.9,0.9100529100529102,2
2,11,GradientBoosting,CPTAC,,,,,,2
2,12,LogisticRegression,Train (TCGA),0.9732142857142857,0.9787234042553191,0.9583333333333334,0.968421052631579,0.9925130208333333,2
2,12,LogisticRegression,Test (TCGA),0.9166666666666666,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9753086419753086,2
2,12,LogisticRegression,CPTAC,,,,,,2
2,12,RandomForest,Train (TCGA),1.0,1.0,1.0,1.0,1.0,2
2,12,RandomForest,Test (TCGA),0.9375,0.9090909090909091,0.9523809523809523,0.9302325581395349,0.9929453262786596,2
2,12,RandomForest,CPTAC,,,,,,2
2,12,SVM,Train (TCGA),0.9732142857142857,0.9787234042553191,0.9583333333333334,0.968421052631579,0.9934895833333333,2
2,12,SVM,Test (TCGA),0.9583333333333334,1.0,0.9047619047619048,0.95,0.9823633156966489,2
2,12,SVM,CPTAC,,,,,,2
2,12,KNN,Train (TCGA),0.9732142857142857,0.9787234042553191,0.9583333333333334,0.968421052631579,0.9970703125,2
2,12,KNN,Test (TCGA),0.9583333333333334,1.0,0.9047619047619048,0.95,0.9691358024691358,2
2,12,KNN,CPTAC,,,,,,2
2,12,GradientBoosting,Train (TCGA),1.0,1.0,1.0,1.0,1.0,2
2,12,GradientBoosting,Test (TCGA),0.9375,0.9090909090909091,0.9523809523809523,0.9302325581395349,0.9858906525573192,2
2,12,GradientBoosting,CPTAC,,,,,,2
2,13,LogisticRegression,Train (TCGA),0.9553571428571429,0.9777777777777777,0.9166666666666666,0.946236559139785,0.9876302083333334,2
2,13,LogisticRegression,Test (TCGA),0.9375,1.0,0.8571428571428571,0.9230769230769231,0.9841269841269841,2
2,13,LogisticRegression,CPTAC,,,,,,2
2,13,RandomForest,Train (TCGA),1.0,1.0,1.0,1.0,1.0,2
2,13,RandomForest,Test (TCGA),0.9375,1.0,0.8571428571428571,0.9230769230769231,0.9929453262786596,2
2,13,RandomForest,CPTAC,,,,,,2
2,13,SVM,Train (TCGA),0.9642857142857143,1.0,0.9166666666666666,0.9565217391304348,0.9954427083333333,2
2,13,SVM,Test (TCGA),0.9375,1.0,0.8571428571428571,0.9230769230769231,0.9594356261022928,2
2,13,SVM,CPTAC,,,,,,2
2,13,KNN,Train (TCGA),0.9642857142857143,1.0,0.9166666666666666,0.9565217391304348,0.9964192708333334,2
2,13,KNN,Test (TCGA),0.9375,1.0,0.8571428571428571,0.9230769230769231,0.9488536155202821,2
2,13,KNN,CPTAC,,,,,,2
2,13,GradientBoosting,Train (TCGA),1.0,1.0,1.0,1.0,1.0,2
2,13,GradientBoosting,Test (TCGA),0.9583333333333334,1.0,0.9047619047619048,0.95,0.9947089947089947,2
2,13,GradientBoosting,CPTAC,,,,,,2
